Order ID,Customer Name,Category,Sub Category,,
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,,
OD127,Shah,"Eggs, Meat & Fish",Mutton,,
OD128,Harish,Oil & Masala,Spices,,
OD129,Sharon,Food Grains,Rice,,
OD130,Peer,Food Grains,Atta & Flour,,
OD131,Haseena,Snacks,Chocolates,,
OD132,Sundar,Beverages,Soft Drinks,,
OD133,Ram,"Eggs, Meat & Fish",Fish,,
OD134,Shah,Bakery,Cakes,,
OD135,Harish,Beverages,Health Drinks,,
OD136,Veena,Fruits & Veggies,Organic Fruits,,
OD137,Sundar,Oil & Masala,Spices,,
OD138,Jackson,"Eggs, Meat & Fish",Eggs,,
OD139,Malik,Snacks,Noodles,,
OD140,Hussain,"Eggs, Meat & Fish",Mutton,,
OD141,Veena,Bakery,Biscuits,,
OD142,Aditi,Oil & Masala,Masalas,,
OD143,Surya,Food Grains,Atta & Flour,,
OD144,Sharon,"Eggs, Meat & Fish",Fish,,
OD145,Vinne,"Eggs, Meat & Fish",Mutton,,
OD146,Malik,Oil & Masala,Edible Oil & Ghee,,
OD147,Ridhesh,Food Grains,Organic Staples,,
OD148,Harish,Fruits & Veggies,Fresh Vegetables,,
OD149,Veronica,Beverages,Health Drinks,,
OD150,Ravi,"Eggs, Meat & Fish",Fish,,
OD151,Muneer,Food Grains,Rice,,
OD152,Jackson,Snacks,Chocolates,,
OD153,Amy,Snacks,Cookies,,
OD154,Ram,Food Grains,Organic Staples,,
OD155,Jonas,Snacks,Noodles,,
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,,
OD157,Peer,Snacks,Cookies,,
OD158,Komal,Oil & Masala,Edible Oil & Ghee,,
OD159,Amy,Beverages,Soft Drinks,,
OD160,Amrish,Food Grains,Dals & Pulses,,
OD161,Yadav,Beverages,Soft Drinks,,
OD162,Vinne,"Eggs, Meat & Fish",Fish,,
OD163,Amrish,Snacks,Chocolates,,
OD164,Hussain,Snacks,Cookies,,
OD165,Haseena,Food Grains,Atta & Flour,,
OD166,Sudha,Beverages,Health Drinks,,
OD167,Adavan,Snacks,Chocolates,,
OD168,Aditi,"Eggs, Meat & Fish",Mutton,,
OD169,Krithika,Oil & Masala,Spices,,
OD170,Sharon,"Eggs, Meat & Fish",Chicken,,
OD171,Akash,Food Grains,Dals & Pulses,,
OD172,Sabeela,Beverages,Health Drinks,,
OD173,Surya,Food Grains,Dals & Pulses,,
OD174,Alan,Fruits & Veggies,Organic Vegetables,,
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,,
OD176,Shah,Fruits & Veggies,Organic Fruits,,
OD177,Mathew,Oil & Masala,Spices,,
OD178,Rumaiza,Snacks,Noodles,,
OD179,Arvind,Fruits & Veggies,Organic Fruits,,
OD180,Krithika,Food Grains,Atta & Flour,,
OD181,Arvind,Snacks,Cookies,,
OD182,Ravi,Beverages,Health Drinks,,
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,,
OD184,Surya,Food Grains,Organic Staples,,
OD185,Amrish,Food Grains,Dals & Pulses,,
OD186,Shah,Snacks,Noodles,,
OD187,Krithika,Bakery,Cakes,,
OD188,Anu,Beverages,Soft Drinks,,
OD189,Yusuf,Fruits & Veggies,Organic Fruits,,
OD190,Rumaiza,Beverages,Soft Drinks,,
OD191,Amrish,Fruits & Veggies,Organic Fruits,,
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,,
OD193,Anu,Beverages,Health Drinks,,
OD194,Suresh,Oil & Masala,Masalas,,
OD195,Peer,"Eggs, Meat & Fish",Eggs,,
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,,
OD197,Sudeep,Bakery,Breads & Buns,,
OD198,Verma,Food Grains,Organic Staples,,
OD199,Surya,"Eggs, Meat & Fish",Mutton,,
OD200,Sudha,"Eggs, Meat & Fish",Eggs,,
OD201,James,Food Grains,Organic Staples,,
OD202,Vidya,Bakery,Cakes,,
OD203,Jackson,Food Grains,Organic Staples,,
OD204,Akash,Oil & Masala,Masalas,,
OD205,Ram,Oil & Masala,Spices,,
OD206,Vinne,"Eggs, Meat & Fish",Mutton,,
OD207,Verma,"Eggs, Meat & Fish",Chicken,,
OD208,Haseena,"Eggs, Meat & Fish",Eggs,,
OD209,Esther,"Eggs, Meat & Fish",Mutton,,
OD210,Amrish,Beverages,Soft Drinks,,
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,,
OD212,Verma,"Eggs, Meat & Fish",Chicken,,
OD213,Peer,Beverages,Soft Drinks,,
OD214,Arutra,Food Grains,Rice,,
OD215,Jonas,Beverages,Health Drinks,,
OD216,Harish,Snacks,Noodles,,
OD217,Sundar,Food Grains,Rice,,
OD218,Suresh,Oil & Masala,Masalas,,
OD219,Sabeela,Fruits & Veggies,Organic Fruits,,
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,,
OD221,Ramesh,Food Grains,Dals & Pulses,,
OD222,Willams,"Eggs, Meat & Fish",Fish,,
OD223,Ramesh,"Eggs, Meat & Fish",Fish,,
OD224,Yadav,Beverages,Soft Drinks,,
OD225,Krithika,"Eggs, Meat & Fish",Chicken,,
OD226,Verma,"Eggs, Meat & Fish",Chicken,,
OD227,Komal,Food Grains,Organic Staples,,
OD228,Harish,Snacks,Cookies,,
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,,
OD230,Ramesh,Beverages,Health Drinks,,
OD231,Arvind,Bakery,Breads & Buns,,
OD232,Komal,Beverages,Soft Drinks,,
OD233,Komal,Food Grains,Dals & Pulses,,
OD234,Ramesh,Snacks,Cookies,,
OD235,Mathew,Beverages,Soft Drinks,,
OD236,Vince,Fruits & Veggies,Organic Fruits,,
OD237,Shah,Bakery,Cakes,,
OD238,Ravi,Bakery,Breads & Buns,,
OD239,Adavan,Fruits & Veggies,Organic Vegetables,,
OD240,Arvind,Snacks,Cookies,,
OD241,Ramesh,Bakery,Cakes,,
OD242,Malik,Beverages,Health Drinks,,
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,,
OD244,Amy,Oil & Masala,Masalas,,
OD245,Roshan,Bakery,Biscuits,,
OD246,Vinne,"Eggs, Meat & Fish",Fish,,
OD247,Sudeep,Fruits & Veggies,Organic Fruits,,
OD248,Ridhesh,Beverages,Health Drinks,,
OD249,Ravi,Snacks,Cookies,,
OD250,James,Beverages,Health Drinks,,
OD251,Mathew,Beverages,Health Drinks,,
OD252,Amrish,Beverages,Health Drinks,,
OD253,Ramesh,Food Grains,Rice,,
OD254,Surya,Fruits & Veggies,Organic Vegetables,,
OD255,Veronica,Food Grains,Rice,,
OD256,Harish,Fruits & Veggies,Fresh Fruits,,
OD257,Ravi,Beverages,Soft Drinks,,
OD258,Sundar,"Eggs, Meat & Fish",Mutton,,
OD259,Esther,Beverages,Soft Drinks,,
OD260,Shree,Bakery,Breads & Buns,,
OD261,Sabeela,Oil & Masala,Masalas,,
OD262,Ravi,Food Grains,Organic Staples,,
OD263,Roshan,Food Grains,Organic Staples,,
OD264,Vince,Beverages,Soft Drinks,,
OD265,Jonas,"Eggs, Meat & Fish",Fish,,
OD266,Harish,Fruits & Veggies,Organic Vegetables,,
OD267,Shah,"Eggs, Meat & Fish",Chicken,,
OD268,Arvind,Oil & Masala,Masalas,,
OD269,Adavan,Bakery,Cakes,,
OD270,Suresh,Beverages,Soft Drinks,,
OD271,Esther,Snacks,Noodles,,
OD272,Krithika,Snacks,Noodles,,
OD273,Muneer,Fruits & Veggies,Organic Fruits,,
OD274,Hafiz,Bakery,Cakes,,
OD275,Krithika,Fruits & Veggies,Organic Vegetables,,
OD276,Amrish,Bakery,Cakes,,
OD277,Shah,"Eggs, Meat & Fish",Fish,,
OD278,Ram,Oil & Masala,Masalas,,
OD279,Arutra,Snacks,Chocolates,,
OD280,Sabeela,Fruits & Veggies,Fresh Vegetables,,
OD281,Vidya,Snacks,Chocolates,,
OD282,Roshan,Fruits & Veggies,Organic Vegetables,,
OD283,Sheeba,Beverages,Soft Drinks,,
OD284,Amrish,Bakery,Biscuits,,
OD285,Kumar,Fruits & Veggies,Organic Vegetables,,
OD286,Ridhesh,Bakery,Breads & Buns,,
OD287,Hafiz,Oil & Masala,Spices,,
OD288,Sudha,Snacks,Noodles,,
OD289,Suresh,Fruits & Veggies,Organic Fruits,,
OD290,Jonas,Bakery,Biscuits,,
OD291,Jonas,Food Grains,Rice,,
OD292,Amrish,Fruits & Veggies,Organic Fruits,,
OD293,Sheeba,"Eggs, Meat & Fish",Eggs,,
OD294,Ram,Snacks,Chocolates,,
OD295,Sheeba,Oil & Masala,Masalas,,
OD296,Muneer,Food Grains,Rice,,
OD297,Aditi,Oil & Masala,Edible Oil & Ghee,,
OD298,Roshan,Oil & Masala,Masalas,,
OD299,Sundar,Food Grains,Organic Staples,,
OD300,Sudha,"Eggs, Meat & Fish",Mutton,,
OD301,Haseena,Bakery,Breads & Buns,,
OD302,Willams,Oil & Masala,Edible Oil & Ghee,,
OD303,Veronica,Bakery,Breads & Buns,,
OD304,Muneer,Snacks,Cookies,,
OD305,Anu,Oil & Masala,Edible Oil & Ghee,,
OD306,Veronica,Bakery,Breads & Buns,,
OD307,Verma,Fruits & Veggies,Fresh Fruits,,
OD308,Sundar,Oil & Masala,Spices,,
OD309,Esther,Snacks,Cookies,,
OD310,Vinne,Snacks,Noodles,,
OD311,Peer,Oil & Masala,Edible Oil & Ghee,,
OD312,Harish,Snacks,Chocolates,,
OD313,Willams,Beverages,Soft Drinks,,
OD314,Vidya,Fruits & Veggies,Fresh Fruits,,
OD315,Arutra,"Eggs, Meat & Fish",Mutton,,
OD316,Malik,Snacks,Noodles,,
OD317,Peer,Fruits & Veggies,Fresh Vegetables,,
OD318,Arvind,Bakery,Cakes,,
OD319,Sudeep,Snacks,Cookies,,
OD320,Arvind,Food Grains,Organic Staples,,
OD321,Alan,Fruits & Veggies,Fresh Vegetables,,
OD322,Sheeba,Oil & Masala,Spices,,
OD323,Arvind,Bakery,Cakes,,
OD324,Anu,Beverages,Health Drinks,,
OD325,Amrish,Fruits & Veggies,Fresh Vegetables,,
OD326,Ravi,Food Grains,Rice,,
OD327,Verma,Fruits & Veggies,Fresh Vegetables,,
OD328,Arutra,Beverages,Health Drinks,,
OD329,Malik,Beverages,Health Drinks,,
OD330,Vidya,Beverages,Health Drinks,,
OD331,Krithika,Snacks,Noodles,,
OD332,Shree,Fruits & Veggies,Organic Fruits,,
OD333,Shree,Beverages,Health Drinks,,
OD334,Akash,Bakery,Breads & Buns,,
OD335,Verma,Oil & Masala,Spices,,
OD336,Yadav,Food Grains,Rice,,
OD337,Alan,Fruits & Veggies,Organic Vegetables,,
OD338,Hussain,Bakery,Cakes,,
OD339,Suresh,Food Grains,Atta & Flour,,
OD340,Willams,Bakery,Biscuits,,
OD341,Hussain,Oil & Masala,Edible Oil & Ghee,,
OD342,Sundar,Beverages,Soft Drinks,,
OD343,Harish,"Eggs, Meat & Fish",Chicken,,
OD344,Suresh,Fruits & Veggies,Organic Vegetables,,
OD345,Vinne,"Eggs, Meat & Fish",Chicken,,
OD346,Willams,Bakery,Breads & Buns,,
OD347,Suresh,Fruits & Veggies,Organic Vegetables,,
OD348,Roshan,Food Grains,Rice,,
OD349,Haseena,"Eggs, Meat & Fish",Chicken,,
OD350,Sabeela,Food Grains,Atta & Flour,,
OD351,Willams,Fruits & Veggies,Fresh Vegetables,,
OD352,Shah,Bakery,Breads & Buns,,
OD353,Krithika,Food Grains,Rice,,
OD354,Vidya,Beverages,Health Drinks,,
OD355,Surya,Bakery,Biscuits,,
OD356,Yadav,Fruits & Veggies,Fresh Vegetables,,
OD357,Malik,Snacks,Cookies,,
OD358,Vidya,Oil & Masala,Spices,,
OD359,Sabeela,Fruits & Veggies,Organic Vegetables,,
OD360,Ridhesh,Fruits & Veggies,Organic Vegetables,,
OD361,Amrish,Snacks,Noodles,,
OD362,Veena,"Eggs, Meat & Fish",Eggs,,
OD363,Veronica,"Eggs, Meat & Fish",Eggs,,
OD364,Krithika,"Eggs, Meat & Fish",Mutton,,
OD365,Haseena,Beverages,Health Drinks,,
OD366,Roshan,Bakery,Cakes,,
OD367,Yusuf,Snacks,Noodles,,
OD368,Amrish,"Eggs, Meat & Fish",Mutton,,
OD369,Vince,Bakery,Biscuits,,
OD370,Mathew,Oil & Masala,Spices,,
OD371,Malik,Fruits & Veggies,Fresh Vegetables,,
OD372,Sudeep,Food Grains,Rice,,
OD373,Arvind,Bakery,Breads & Buns,,
OD374,Shah,Beverages,Health Drinks,,
OD375,Sharon,Oil & Masala,Spices,,
OD376,Hussain,"Eggs, Meat & Fish",Mutton,,
OD377,Ganesh,Snacks,Chocolates,,
OD378,Ganesh,Food Grains,Atta & Flour,,
OD379,Sudeep,Food Grains,Rice,,
OD380,Hussain,Oil & Masala,Spices,,
OD381,Krithika,Food Grains,Rice,,
OD382,Ram,Oil & Masala,Masalas,,
OD383,Mathew,"Eggs, Meat & Fish",Mutton,,
OD384,Jackson,Beverages,Health Drinks,,
OD385,Surya,"Eggs, Meat & Fish",Mutton,,
OD386,Sabeela,Fruits & Veggies,Organic Fruits,,
OD387,Esther,Bakery,Biscuits,,
OD388,Harish,Snacks,Cookies,,
OD389,Malik,Snacks,Chocolates,,
OD390,Shree,Bakery,Biscuits,,
OD391,Jonas,Bakery,Breads & Buns,,
OD392,Hafiz,Oil & Masala,Spices,,
OD393,Hussain,Food Grains,Atta & Flour,,
OD394,Ridhesh,Oil & Masala,Edible Oil & Ghee,,
OD395,Suresh,Food Grains,Rice,,
OD396,Sheeba,Bakery,Cakes,,
OD397,Ram,Beverages,Soft Drinks,,
OD398,Rumaiza,Snacks,Noodles,,
OD399,Mathew,Bakery,Breads & Buns,,
OD400,Veronica,Beverages,Health Drinks,,
OD401,Yadav,Beverages,Health Drinks,,
OD402,Adavan,"Eggs, Meat & Fish",Chicken,,
OD403,Willams,Bakery,Cakes,,
OD404,Shree,Snacks,Cookies,,
OD405,Alan,Oil & Masala,Masalas,,
OD406,Kumar,Food Grains,Atta & Flour,,
OD407,Sharon,Food Grains,Rice,,
OD408,Ravi,Fruits & Veggies,Fresh Fruits,,
OD409,Surya,Beverages,Soft Drinks,,
OD410,Krithika,"Eggs, Meat & Fish",Eggs,,
OD411,Krithika,Bakery,Cakes,,
OD412,Harish,Snacks,Cookies,,
OD413,Jonas,Oil & Masala,Edible Oil & Ghee,,
OD414,Ridhesh,Bakery,Breads & Buns,,
OD415,Sudha,"Eggs, Meat & Fish",Fish,,
OD416,Arvind,Food Grains,Dals & Pulses,,
OD417,Ramesh,Snacks,Cookies,,
OD418,Amrish,Beverages,Soft Drinks,,
OD419,Jackson,Food Grains,Dals & Pulses,,
OD420,Hussain,Beverages,Health Drinks,,
OD421,Shree,"Eggs, Meat & Fish",Fish,,
OD422,Komal,Fruits & Veggies,Organic Fruits,,
OD423,Malik,Bakery,Breads & Buns,,
OD424,Sheeba,Food Grains,Organic Staples,,
OD425,Veena,Bakery,Cakes,,
OD426,Arvind,Beverages,Soft Drinks,,
OD427,Sudha,Beverages,Health Drinks,,
OD428,Amrish,Snacks,Noodles,,
OD429,Willams,Fruits & Veggies,Organic Vegetables,,
OD430,Sudeep,Food Grains,Rice,,
OD431,Harish,Fruits & Veggies,Fresh Fruits,,
OD432,Yusuf,Food Grains,Organic Staples,,
OD433,Esther,Beverages,Soft Drinks,,
OD434,Roshan,Bakery,Breads & Buns,,
OD435,Rumaiza,Snacks,Noodles,,
OD436,Haseena,Snacks,Cookies,,
OD437,Ram,"Eggs, Meat & Fish",Eggs,,
OD438,Aditi,Snacks,Noodles,,
OD439,Sabeela,Oil & Masala,Masalas,,
OD440,Malik,Fruits & Veggies,Organic Fruits,,
OD441,Sudeep,Fruits & Veggies,Fresh Vegetables,,
OD442,James,Snacks,Noodles,,
OD443,Sudha,"Eggs, Meat & Fish",Fish,,
OD444,Amrish,Food Grains,Dals & Pulses,,
OD445,Sudeep,Food Grains,Dals & Pulses,,
OD446,Yadav,Snacks,Chocolates,,
OD447,Malik,Snacks,Chocolates,,
OD448,Shree,Beverages,Soft Drinks,,
OD449,Ganesh,Bakery,Cakes,,
OD450,Sudha,Food Grains,Dals & Pulses,,
OD451,Amy,Oil & Masala,Masalas,,
OD452,Verma,"Eggs, Meat & Fish",Mutton,,
OD453,Veena,Oil & Masala,Edible Oil & Ghee,,
OD454,Esther,Oil & Masala,Masalas,,
OD455,Ramesh,Bakery,Biscuits,,
OD456,Sharon,Snacks,Noodles,,
OD457,Ridhesh,Food Grains,Dals & Pulses,,
OD458,Akash,Food Grains,Dals & Pulses,,
OD459,Muneer,"Eggs, Meat & Fish",Chicken,,
OD460,Krithika,Food Grains,Atta & Flour,,
OD461,Veronica,Food Grains,Atta & Flour,,
OD462,Ramesh,"Eggs, Meat & Fish",Eggs,,
OD463,Krithika,Beverages,Health Drinks,,
OD464,Amrish,Food Grains,Organic Staples,,
OD465,Krithika,Fruits & Veggies,Fresh Vegetables,,
OD466,Veena,Beverages,Soft Drinks,,
OD467,Alan,Snacks,Chocolates,,
OD468,Shah,Oil & Masala,Edible Oil & Ghee,,
OD469,Adavan,Bakery,Biscuits,,
OD470,Hussain,Fruits & Veggies,Organic Fruits,,
OD471,Yadav,Beverages,Soft Drinks,,
OD472,Yadav,Bakery,Breads & Buns,,
OD473,Amrish,"Eggs, Meat & Fish",Chicken,,
OD474,Yadav,Beverages,Soft Drinks,,
OD475,Esther,"Eggs, Meat & Fish",Fish,,
OD476,Haseena,Oil & Masala,Masalas,,
OD477,Hussain,Bakery,Breads & Buns,,
OD478,Rumaiza,Food Grains,Organic Staples,,
OD479,Rumaiza,Food Grains,Atta & Flour,,
OD480,Jackson,Fruits & Veggies,Organic Fruits,,
OD481,Ravi,Snacks,Chocolates,,
OD482,Shah,Bakery,Cakes,,
OD483,James,Bakery,Cakes,,
OD484,Sudha,Food Grains,Atta & Flour,,
OD485,Vince,Snacks,Cookies,,
OD486,Ramesh,Snacks,Cookies,,
OD487,Harish,Fruits & Veggies,Organic Fruits,,
OD488,Sabeela,"Eggs, Meat & Fish",Mutton,,
OD489,Haseena,Snacks,Cookies,,
OD490,Vidya,Snacks,Chocolates,,
OD491,Amy,Bakery,Cakes,,
OD492,Yadav,Beverages,Soft Drinks,,
OD493,Anu,Fruits & Veggies,Fresh Fruits,,
OD494,Sheeba,Beverages,Soft Drinks,,
OD495,Veronica,Beverages,Health Drinks,,
OD496,Ridhesh,Beverages,Soft Drinks,,
OD497,Komal,Food Grains,Atta & Flour,,
OD498,Hussain,Beverages,Health Drinks,,
OD499,Vidya,Fruits & Veggies,Organic Vegetables,,
OD500,Komal,"Eggs, Meat & Fish",Mutton,,
OD501,Veena,Beverages,Soft Drinks,,
OD502,Arvind,"Eggs, Meat & Fish",Fish,,
OD503,Peer,Snacks,Cookies,,
OD504,Komal,Food Grains,Dals & Pulses,,
OD505,Esther,Bakery,Breads & Buns,,
OD506,Hafiz,Beverages,Health Drinks,,
OD507,Aditi,Food Grains,Rice,,
OD508,Amrish,Snacks,Chocolates,,
OD509,Kumar,Snacks,Noodles,,
OD510,Vince,Oil & Masala,Edible Oil & Ghee,,
OD511,Haseena,Fruits & Veggies,Organic Fruits,,
OD512,Shah,Bakery,Breads & Buns,,
OD513,Aditi,Bakery,Breads & Buns,,
OD514,Arutra,Oil & Masala,Masalas,,
OD515,Verma,Beverages,Health Drinks,,
OD516,Arvind,"Eggs, Meat & Fish",Eggs,,
OD517,Sundar,"Eggs, Meat & Fish",Eggs,,
OD518,Ramesh,Snacks,Noodles,,
OD519,Komal,"Eggs, Meat & Fish",Eggs,,
OD520,Krithika,Bakery,Breads & Buns,,
OD521,Arutra,"Eggs, Meat & Fish",Mutton,,
OD522,Komal,"Eggs, Meat & Fish",Chicken,,
OD523,Peer,Fruits & Veggies,Fresh Vegetables,,
OD524,Jonas,Oil & Masala,Masalas,,
OD525,Amy,"Eggs, Meat & Fish",Eggs,,
OD526,Suresh,"Eggs, Meat & Fish",Chicken,,
OD527,Sheeba,Bakery,Cakes,,
OD528,Verma,Snacks,Noodles,,
OD529,Krithika,Snacks,Cookies,,
OD530,Vidya,Bakery,Breads & Buns,,
OD531,Komal,"Eggs, Meat & Fish",Fish,,
OD532,Roshan,"Eggs, Meat & Fish",Chicken,,
OD533,Veena,Snacks,Noodles,,
OD534,Aditi,Food Grains,Organic Staples,,
OD535,James,Food Grains,Dals & Pulses,,
OD536,Willams,Snacks,Noodles,,
OD537,Sudeep,Beverages,Soft Drinks,,
OD538,Sheeba,Beverages,Soft Drinks,,
OD539,Surya,Food Grains,Rice,,
OD540,Surya,Snacks,Chocolates,,
OD541,Alan,Beverages,Soft Drinks,,
OD542,Sudha,Fruits & Veggies,Organic Fruits,,
OD543,Aditi,Beverages,Soft Drinks,,
OD544,Sundar,Snacks,Chocolates,,
OD545,Arvind,Fruits & Veggies,Fresh Vegetables,,
OD546,Surya,"Eggs, Meat & Fish",Chicken,,
OD547,Yadav,Snacks,Chocolates,,
OD548,Komal,Bakery,Cakes,,
OD549,Adavan,"Eggs, Meat & Fish",Fish,,
OD550,Yadav,Beverages,Soft Drinks,,
OD551,Ravi,"Eggs, Meat & Fish",Chicken,,
OD552,Verma,"Eggs, Meat & Fish",Mutton,,
OD553,Shree,Beverages,Soft Drinks,,
OD554,Yadav,Beverages,Health Drinks,,
OD555,Arutra,Oil & Masala,Spices,,
